Time Fxf Fyf Fzf Ftf	
3.936000 0.247559 0.069463 0.376382 0.455822
3.944000 0.153076 0.019985 0.293906 0.331982
3.952000 0.046415 0.036027 0.155805 0.166516
3.960000 0.050947 0.112269 0.175427 0.214417
3.968000 0.099999 0.158090 0.310477 0.362475
3.976000 0.147112 0.085872 0.312068 0.355531
3.984000 0.174509 -0.007237 0.229695 0.288557
3.992000 0.174117 -0.021312 0.170909 0.244910
4.000000 0.163410 0.021170 0.146379 0.220404
4.008000 0.165310 0.077036 0.223695 0.288620
4.016000 0.209266 0.074492 0.315954 0.386223
4.024000 0.268303 -0.035929 0.326451 0.424085
4.032000 0.220910 -0.218136 0.285064 0.421481
4.040000 -0.012819 -0.384799 0.209674 0.438403
4.048000 -0.286912 -0.410019 0.128428 0.516650
4.056000 -0.405712 -0.277327 0.065300 0.495759
4.064000 -0.326792 -0.131004 0.014560 0.352374
4.072000 -0.146474 -0.076993 -0.059507 0.175851
4.080000 -0.040494 -0.066844 -0.028281 0.083113
4.088000 -0.034770 -0.051860 0.130253 0.144445
4.096000 -0.040278 -0.040573 0.185715 0.194316
4.104000 -0.020698 -0.008228 0.202032 0.203256
4.112000 0.010047 0.013003 0.271421 0.271918
4.120000 -0.000295 0.001249 0.238424 0.238428
4.128000 -0.017434 0.006193 0.203902 0.204740
4.136000 0.018785 0.033293 0.280614 0.283206
4.144000 0.078066 0.065231 0.244253 0.264592
4.152000 0.135468 0.086851 0.091060 0.184896
4.160000 0.166969 0.088342 0.098862 0.213205
4.168000 0.173467 0.086425 0.213705 0.288496
4.176000 0.179085 0.110467 0.270087 0.342376
4.184000 0.180601 0.166667 0.301219 0.388751
4.192000 0.195480 0.193621 0.266878 0.383309
4.200000 0.211925 0.169469 0.166811 0.318524
4.208000 0.177841 0.114222 0.092187 0.230591
4.216000 0.100945 0.000309 0.094980 0.138604
4.224000 0.021897 -0.155803 0.202715 0.256607
4.232000 -0.085619 -0.285672 0.325441 0.441420
4.240000 -0.213790 -0.305549 0.305548 0.482106
4.248000 -0.255710 -0.240395 0.117563 0.370133
4.256000 -0.210067 -0.229085 -0.034271 0.312702
4.264000 -0.199660 -0.305453 -0.007809 0.365003
